rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNY4P37:ENSG00000252034.1,0.450581337,0.335662411,0.540956112,0.999642195,1.149875891,3.095167614,0.838909092,0.606964017,0.594043379,2.393062989,0.4302574,0.471821167,0.848390268,0.967734506,1.04520369,0.185564711,0,0.658926273,1.080722865,0.547306032,0.364260697,0,0.251979996,0.253929818,0.295909159,0,0,0.157631252,0.039205879,0.692886532,0.319854215,0.224617506,0.963812821,0.336335426,0.066562474,0,0.07424341
RNY1P15:ENSG00000222351.1,0,0,0.036063741,6.93085255,4.886972539,3.095167614,0.152528926,0,0.049503615,0,0.053782175,0,0.308505552,0.129031267,0.072083013,0,0,0,0.648433719,0,0.20814897,0,0,0,0,0,0,0,0,0.115481089,0.106618072,0.224617506,0.192762564,0,0,0,0
RNY4P24:ENSG00000199605.1,0,0.083915603,0.180318704,2.199212828,2.792555736,4.209427955,0,0,0.049503615,1.196531495,0.8605148,0.214464167,0.231379164,0.258062535,0.10812452,0.061854904,0.107723734,0,0.756506006,0.091217672,0.156111727,0.06183919,0.503959992,0.126964909,0.295909159,0,0,0,0,0.173221633,0.213236143,0.336926259,0.495675165,0.074741206,0.133124948,0,0
RNY3P13:ENSG00000202412.1,0,0.251746808,0.036063741,0.932999382,0.985607907,2.16661733,0,0,0,0.717918897,0.6453861,0.557606834,0.694137492,0.290320352,0.288332052,0.371129422,0,0,0.864578292,0.091217672,0.156111727,0,0,0,0,0,0,0,0,0.404183811,0.213236143,0.168463129,0.495675165,0.037370603,0,0.0484796,0
RNY4P19:ENSG00000199400.1,0.506904004,0.419578014,0.360637408,0.066642813,0.041066996,0.185710057,0.838909092,0.606964017,0.594043379,2.15375669,0.484039575,0.471821167,0.154252776,0.096773451,0.144166026,0.185564711,0,0,0.216144573,0.547306032,0.052037242,0,0.251979996,0,0,0,0,0.157631252,0,0,0.053309036,0,0.055075018,0,0,0,0
RNY3P16:ENSG00000252147.1,0,0,0,1.532784699,0.821339922,0.680936875,0,0,0,0.239306299,0,0,0.231379164,0.032257817,0,0,0,0.077520738,1.837228871,0.273653016,0.20814897,0,0,0,0,0,0,0,0,0.288702722,0.106618072,0.336926259,0.468137656,0,0,0,0.07424341
RNY1P9:ENSG00000255156.1,0,0,0,0.66642813,0.410669961,1.423777102,0,0.606964017,0,0,0,0.171571333,0.077126388,0.032257817,0.10812452,0,0,0,0.216144573,0,0,0,0,0.063482454,0,0,0,0,0,0.230962177,0.106618072,0.112308753,0.027537509,0,0.532499794,0.193918399,0
RNY3P5:ENSG00000206854.1,0,0,0,0.932999382,0.616004942,0.680936875,0,0,0,0,0,0,0.154252776,0,0.072083013,0,0,0.077520738,0.108072287,0.273653016,0.052037242,0,0,0,0,0,0,0,0,0.115481089,0.053309036,0.336926259,0.385525129,0.112111809,0,0,0.148486819
RNY3P7:ENSG00000206800.1,0,0,0,1.066285008,0.369602965,0.680936875,0,0,0,0,0,0,0.231379164,0.322578169,0.144166026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461924355,0.053309036,0.224617506,0.33045011,0,0,0,0
RNY3P11:ENSG00000201023.1,0,0,0,0.733070943,0.657071938,0.495226818,0,0,0,0,0.161346525,0,0,0.032257817,0.10812452,0.123709807,0,0,0,0.273653016,0,0,0,0,0,0,0,0,0,0,0,0.112308753,0.192762564,0,0,0,0
RNY3P4:ENSG00000207157.1,0,0,0,0.399856878,0.082133992,0.742840227,0,0,0,0,0,0,0.154252776,0.032257817,0.072083013,0,0,0,0,0,0.260186212,0,0,0,0,0,0,0,0,0.115481089,0.053309036,0.056154376,0.110150037,0,0,0,0
RNY1P2:ENSG00000201690.1,0.056322667,0,0.072127482,0.333214065,0.205334981,0.309516761,0,0,0,0,0.053782175,0,0.077126388,0.064515634,0.036041507,0.061854904,0.035907911,0,0.216144573,0,0,0,0,0,0,0,0,0,0,0.057740544,0,0,0.055075018,0,0,0,0
RNY1P10:ENSG00000200138.1,0,0,0,0.133285626,0.041066996,0.061903352,0,0,0,0,0,0,0.077126388,0,0,0,0,0,0.432289146,0,0,0,0,0,0,0,0,0,0,0.230962177,0.106618072,0.168463129,0.220300073,0,0,0,0
RNY4P36:ENSG00000212418.1,0,0,0.036063741,0,0,0,0,0,0,0,0.053782175,0.514714,0,0.258062535,0.072083013,0,0,0,0,0,0,0,0,0,0.14795458,0,0,0,0,0,0,0,0,0.037370603,0,0,0
RNY3P14:ENSG00000207036.1,0,0,0,0.399856878,0.123200988,0.123806705,0,0,0,0.239306299,0,0,0,0.096773451,0.072083013,0.061854904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115481089,0,0,0.027537509,0,0,0,0
RNY1P4:ENSG00000207325.1,0,0,0,0.133285626,0.328535969,0.123806705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053309036,0,0,0,0,0,0
RNY3P12:ENSG00000202297.1,0,0,0,0,0.082133992,0.061903352,0,0,0,0,0.161346525,0,0,0.032257817,0,0,0,0,0,0.091217672,0.052037242,0,0,0,0,0,0,0,0,0.057740544,0,0,0.055075018,0,0,0,0
RNY3P9:ENSG00000207458.1,0,0,0,0,0,0,0,0,0,0.239306299,0,0,0,0.032257817,0.072083013,0.061854904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027537509,0,0,0,0
