rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNU1-89P:ENSG00000207322.1,405.2979128,317.4527251,459.1635477,82.10394559,76.67208176,113.159328,311.1590086,246.5032613,750.4252979,123.0034376,40.71310646,59.53525272,49.97789943,13.87086125,9.442874717,12.98952976,1.974935129,15.31034575,98.88614217,78.62963326,38.5075594,3.834029797,23.05616962,24.05985024,12.72409386,0.849867613,3.019673424,10.14094388,10.97764602,0.230962177,8.742681869,1.403859412,0.413062638,0.074741206,0.133124948,0.0969592,0.222730229
RNU1-22P:ENSG00000200204.1,405.1852675,317.2848939,458.838974,80.50451808,76.71314876,112.6641011,311.0827441,246.2756498,749.9302618,121.8069061,39.96015601,58.72028888,49.05238278,13.25796273,9.082459651,12.98952976,1.974935129,14.496378,97.58927473,74.25118501,35.74958555,3.586673036,22.30022963,23.36154324,12.28023012,0.818391034,3.019673424,9.878225129,10.89923427,0.173221633,8.47613669,1.235396282,0.302912601,0.149482412,0.199687423,0.0969592,0.222730229
RNU1-16P:ENSG00000202347.1,405.0726222,316.6974847,459.1996114,80.17130402,76.01500982,112.2307777,311.1590086,246.2756498,750.029269,100.7479518,34.20546329,55.67489772,46.3529592,13.61279871,9.226625677,11.25759246,1.651763926,6.976866416,60.62855274,53.90964415,24.71769015,3.091959514,21.16631965,22.28234152,12.28023012,0.818391034,2.935793607,9.773137627,10.82082251,0.230962177,8.689372833,1.179241906,0.275375092,0.074741206,0.133124948,0.0969592,0.148486819
RNU1-46P:ENSG00000207154.1,405.0726222,316.6974847,458.4422729,80.37123246,76.09714382,112.106971,311.0827441,246.1997793,749.6332401,101.2265644,34.47437417,55.20307655,47.35560224,12.93538456,8.902252118,11.31944736,1.651763926,6.976866416,62.46578161,52.17650838,24.7697274,2.968281133,20.91433965,21.96492924,11.83636638,0.818391034,2.977733515,9.720593877,10.86002839,0.115481089,8.422827654,1.235396282,0.275375092,0.074741206,0.133124948,0.0969592,0.148486819
RNU1-132P:ENSG00000201170.1,405.0726222,316.6974847,458.6947191,80.17130402,75.97394283,112.0450676,311.0827441,246.1997793,749.8807582,100.7479518,34.20546329,55.54621922,45.50456893,13.12893146,8.974335132,11.25759246,1.651763926,6.628023096,58.5751793,52.90624976,24.66565291,3.091959514,21.16631965,22.28234152,11.98432096,0.786914456,2.935793607,9.93076888,10.82082251,0.115481089,8.422827654,1.179241906,0.275375092,0.074741206,0.133124948,0.193918399,0.148486819
RNU1-67P:ENSG00000207175.1,367.3364352,279.6907039,323.8523923,71.8409524,67.7605436,96.69303626,267.9170581,206.1401542,544.1932384,94.52598807,32.26930499,38.1746217,40.5684801,8.870899636,6.27122214,9.030815927,0.825881963,5.000087598,60.1962636,51.17311399,21.95971631,4.019547368,19.27646968,18.85428898,13.90773049,0.440672095,1.551776621,4.62385006,4.508676045,0.115481089,0.479781322,0.168463129,0.082612528,0.037370603,0.066562474,0.0969592,0.148486819
RN7SK:ENSG00000283293.1,8.448400073,6.293670204,3.967011487,66.17631329,65.87146178,145.844298,7.245123974,6.448992679,2.12865544,12.20462124,6.776554048,16.68531218,22.28952614,85.54773031,50.78248273,1.422662783,2.872632915,114.0717659,352.4237264,661.6929927,123.1201156,33.7023587,321.1485047,218.0622311,245.7525569,27.03838071,21.72487269,108.9757389,51.67334807,1.905437964,2.505524682,3.425416964,4.433538979,0.224223617,0.199687423,0.0969592,0.148486819
RNVU1-2A:ENSG00000278099.1,135.8502732,63.02061764,277.4744216,13.99499073,28.45942831,26.30892472,183.7973556,140.7397814,983.7853385,17.23005352,7.099247098,16.85688351,6.555742981,2.935461334,1.802075328,1.670082398,0.323171203,3.062069149,8.861927495,11.21977366,7.805586364,0.680231093,7.559399874,6.475210355,3.550909913,0.598054987,1.971175707,6.567968836,7.29229343,0.461924355,7.196719831,1.403859412,1.266725423,0.074741206,0.066562474,0.0484796,0.148486819
RNU1-83P:ENSG00000200296.1,343.7935603,249.8167493,199.793124,65.90974204,61.68262818,84.1885591,228.5645953,173.1364858,346.7233186,100.0300329,28.98859232,22.81898735,40.41422732,5.612860134,3.964565721,9.834929674,0.610434494,6.356700513,80.51385346,66.40646522,27.26751503,2.22621085,11.71706981,15.17230662,8.877274783,0.251812626,1.132377534,2.889906288,2.783617384,0,0.586399394,0.112308753,0.385525129,0.037370603,0.199687423,0.193918399,0.222730229
RNU1-8P:ENSG00000207056.1,345.4832403,252.6698798,199.793124,65.11002828,60.90235525,87.22182336,229.2509754,173.3640973,348.1094198,80.40691643,23.01877089,19.77359618,37.3291718,4.806414712,3.496026136,7.484443337,0.394987026,2.131820294,45.17421577,40.04455801,16.75599206,1.607818947,9.701229839,13.77569262,8.433411044,0.188859469,1.090437625,2.784818786,2.62679387,0,0.213236143,0.056154376,0.027537509,0,0.066562474,0.0484796,0.07424341
