lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
EtherPC,10.82488044,10.83048681,10.70544436,10.13694115,10.08252344,9.762747655,9.011497798,9.038640551,8.944477888,9.850494017,10.29145776,10.30402278,9.43213228,9.329513785,9.417482147,9.021668931,9.078014669,9.104803407,9.728028427,9.591806014,9.845552619,9.466076399,9.13397166,9.230578878,9.180256584,9.070142329,9.529091558,10.01820596,9.645616911,9.500366426,9.631759043,9.705727594,9.729314963,9.676189169,9.263427274,9.109274603,9.113699541,9.184124794
EtherPE,10.48020078,10.47924588,10.49278439,9.704702656,9.631072718,9.285498356,8.077373895,8.070939678,8.054895392,9.728496744,10.12080829,10.17493332,9.233050984,9.029242419,9.20372711,8.080071151,8.182622687,8.195009416,9.533180182,9.44704294,9.610523098,9.116059385,8.729622837,8.787126403,8.61978128,8.703990771,9.374593897,9.826577367,9.557728567,9.277933714,9.041234166,9.095352205,9.106788514,9.131749463,8.898675046,8.71373527,8.754141657,8.742306791
EtherPI,7.777470474,7.810291278,7.942551147,6.805640096,6.636045252,5.777607318,0,0,0,6.729580331,7.296136411,7.321930558,4.417969642,4.084397519,4.498641319,0,0,0,6.659669903,6.48297743,6.74558588,3.113609151,3.067070856,0,0,0,6.446667156,7.061230035,6.401595757,6.206662648,6.563769926,6.864391515,6.844598128,6.858324389,5.722898696,0,0,0
EtherTG,8.451141416,8.474072982,8.599795953,8.321765352,8.584995836,8.224603028,7.931365749,7.991007282,8.018502887,8.193192936,8.683039468,8.488353108,8.085538309,8.143770025,8.054298491,8.04906931,8.08810401,8.082107169,8.137428267,8.26830398,8.191270351,8.070676796,7.950263256,8.055016114,7.952864989,7.880586728,8.18776481,8.214385314,7.985977669,7.971969159,8.007219255,8.073242741,8.157384703,8.076895929,7.944344066,7.937273229,7.915435928,7.994472613
FA,9.438558308,9.405096569,9.4949696,9.43622691,9.438400388,9.341521921,9.425721515,9.447339403,9.438249177,9.424165796,9.418022969,9.454820384,9.426239463,9.426502648,9.485561501,9.372797102,9.407599025,9.348469921,9.366994011,9.394888037,9.447164197,9.350201566,9.387121431,9.453147023,9.341748026,9.404566871,9.469262852,9.375975166,9.356432238,9.450638305,9.406583542,9.518349635,9.527311976,9.486988084,9.409211784,9.497392673,9.464055987,9.463311822
HBMP,6.04290416,5.968333488,6.469196771,5.792222141,5.765999178,5.639665748,4.372359583,5.779194475,6.112619076,6.175949366,6.757721855,6.810845543,5.709193613,5.602338936,5.692738552,5.388937355,5.275725868,5.174676051,5.991817731,6.022849264,6.078885463,5.608197514,5.335170951,4.577089489,4.782307762,5.824881773,5.675835144,6.209033807,5.427880301,5.170651818,6.241496424,6.667387664,6.634418621,6.607954657,7.544762546,7.327617656,7.894163507,7.581766145
HexCer_AP,8.391105905,8.379795454,8.478602763,8.232842876,8.220594714,8.149211884,8.251212564,8.289594332,8.273303776,8.303030235,8.246921101,8.301298231,8.313309323,8.332088829,8.389436456,8.259224921,8.308865247,8.215559288,8.182974702,8.296299143,8.378426929,8.217236734,8.26287258,8.325690346,8.204955738,8.392027402,8.375070288,8.26182569,8.319112895,8.42106862,8.374717975,8.501486284,8.499293063,8.430556476,8.375461936,8.5129279,8.511922538,8.433984044
HexCer_HS,10.156853,10.15327726,10.15118877,9.275254425,9.190910468,9.028020198,7.437615435,7.554743266,7.5389907,9.026003463,9.583535936,9.600066571,8.576304484,8.375654197,8.524218025,7.517757174,7.576468832,7.494504005,8.966171719,8.925249988,8.984372981,8.460737105,8.146319325,8.226714026,7.87415005,8.016312414,9.022760342,9.477004005,8.856189482,8.778023606,8.932944803,9.173223101,9.196588416,9.200639909,8.980750992,8.541238881,8.626166176,8.557040536
HexCer_NS,9.345968876,9.340518487,9.275108783,8.604906321,8.566530467,8.703240587,7.956063942,8.070097093,8.013846713,8.689346376,9.020151294,9.060220951,8.368061931,8.365292012,8.325121635,8.062907921,8.158936877,8.246279241,8.601794676,8.604281276,8.824065124,8.654836537,8.375573379,8.521776371,8.393626179,8.283953933,8.703287936,9.038468116,8.697745047,8.70048703,8.768584393,8.804537602,8.849584656,8.80510098,8.50191088,8.295159455,8.330421883,8.380914425
LDGCC,7.913650617,7.810322897,7.759747121,7.91741497,7.911092897,6.727600054,7.903595564,7.925813196,7.873502659,7.90014227,7.964583749,7.948187666,7.914873978,7.957848553,7.979712451,8.014558611,7.868154185,7.95377187,7.847567434,7.8232378,7.865681913,7.931976563,7.916945223,7.985482058,7.857031963,7.887325893,7.929715662,7.993307153,7.938546988,8.077871645,8.08574227,8.070826557,8.065936866,8.074711733,8.013595494,8.082360692,8.047837695,8.081123898
